town,avg_total,1_Room,2_Room,3_Room,4_Room,5_Room,executive
ANG MO KIO,537441,0,0,393556,665000,802963,895000
BEDOK,507085,0,0,396273,489706,690400,860000
BISHAN,696032,0,0,487500,659627,890000,980000
BUKIT BATOK,569610,0,333000,375455,579640,761984,854667
BUKIT MERAH,733394,237000,0,473833,831831,846000,0
BUKIT PANJANG,545579,0,0,396750,504750,642841,950000
BUKIT TIMAH,716500,0,0,0,716500,0,0
CENTRAL AREA,804000,0,328000,461000,914000,1346667,0
CHOA CHU KANG,536955,0,0,389500,485294,576500,724333
CLEMENTI,568950,0,0,423273,681143,977500,0
GEYLANG,463999,0,247500,330161,613289,680000,928000
HOUGANG,526283,0,0,380574,517691,663333,817972
JURONG EAST,466699,0,0,388125,464667,630444,780000
JURONG WEST,521765,0,360000,325333,491500,605876,706000
KALLANG/WHAMPOA,562353,0,319000,424063,711531,895000,0
MARINE PARADE,601000,0,0,459500,530000,955000,0
PASIR RIS,634016,0,0,0,556042,648000,798778
PUNGGOL,558210,0,342333,456500,585344,636170,0
QUEENSTOWN,688180,0,0,456471,847692,907667,1200000
SEMBAWANG,505130,0,325500,415000,525526,590750,678296
SENGKANG,603538,0,310000,440000,568905,639442,756000
SERANGOON,614000,0,0,424167,594000,661500,995333
TAMPINES,569782,0,0,402735,564284,670250,814500
TOA PAYOH,620674,0,0,361119,695000,930286,1010000
WOODLANDS,508907,0,305000,406944,494510,577727,760000
YISHUN,499771,0,315000,393135,484493,617000,835000
