town,avg_resale_price
ANG MO KIO,537441
BEDOK,507085
BISHAN,696032
BUKIT BATOK,569610
BUKIT MERAH,733394
BUKIT PANJANG,545579
BUKIT TIMAH,716500
CENTRAL AREA,804000
CHOA CHU KANG,536955
CLEMENTI,568950
GEYLANG,463999
HOUGANG,526283
JURONG EAST,466699
JURONG WEST,521765
KALLANG/WHAMPOA,562353
MARINE PARADE,601000
PASIR RIS,634016
PUNGGOL,558210
QUEENSTOWN,688180
SEMBAWANG,505130
SENGKANG,603538
SERANGOON,614000
TAMPINES,569782
TOA PAYOH,620674
WOODLANDS,508907
YISHUN,499771
